HoleID,X,Y,Z,Depth,GRIDNAME,PROSPECT,PROSPECTNAME_COLLAR_D
ANR-479,409382.071,7496195.039,1673.862,180,ANTUCOYA,892,ANT 2025 INFILL RC
ANR-480,409419.749,7496167.778,1673.21,170,ANTUCOYA,892,ANT 2025 INFILL RC
ANR-481,409106.002,7497345.99,1715.098,150,ANTUCOYA,892,ANT 2025 INFILL RC
ANR-482,410098.006,7496452.938,1581.441,150,ANTUCOYA,892,ANT 2025 INFILL RC
ANR-483,409886.025,7496249.994,1552.631,140,ANTUCOYA,892,ANT 2025 INFILL RC
ANR-484,410085.823,7496446.007,1580.751,220,ANTUCOYA,892,ANT 2025 INFILL RC
ANR-485,410084.845,7496446.041,1580.778,290,ANTUCOYA,892,ANT 2025 INFILL RC
ANR-485B,410086.834,7496448.049,1580.339,324,ANTUCOYA,892,ANT 2025 INFILL RC
ANR-486,409933.558,7496299.975,1561.177,230,ANTUCOYA,892,ANT 2025 INFILL RC
ANR-487,409944.932,7496300.947,1561.414,180,ANTUCOYA,892,ANT 2025 INFILL RC
ANR-488,410041.742,7496399.992,1574.478,220,ANTUCOYA,892,ANT 2025 INFILL RC
ANR-489,410039.664,7496400.013,1574.545,240,ANTUCOYA,892,ANT 2025 INFILL RC
ANR-490,410152.854,7496591.978,1596.728,300,ANTUCOYA,892,ANT 2025 INFILL RC
ANR-491,410178.376,7496649.963,1603.445,280,ANTUCOYA,892,ANT 2025 INFILL RC
ANR-492,409151.511,7496534.544,1596.469,180,ANTUCOYA,892,ANT 2025 INFILL RC
ANR-493,409231.026,7496473.992,1586.561,160,ANTUCOYA,892,ANT 2025 INFILL RC
ANR-494,409194.861,7496501.025,1591.963,170,ANTUCOYA,892,ANT 2025 INFILL RC
ANR-495,410217.776,7496749.966,1614.661,300,ANTUCOYA,892,ANT 2025 INFILL RC
ANR-495B,410216.814,7496751.059,1614.593,300,ANTUCOYA,892,ANT 2025 INFILL RC
ANR-496,410205.016,7496700.019,1609.179,180,ANTUCOYA,892,ANT 2025 INFILL RC
ANR-497,410112.285,7496499.957,1587.112,220,ANTUCOYA,892,ANT 2025 INFILL RC
ANR-497B,410111.107,7496498.04,1587.066,220,ANTUCOYA,892,ANT 2025 INFILL RC
ANR-498,409475.005,7496292.049,1574.75,110,ANTUCOYA,892,ANT 2025 INFILL RC
ANR-499,409514.181,7496265.217,1576.778,160,ANTUCOYA,892,ANT 2025 INFILL RC
ANR-500,409556.967,7496235.951,1580.826,134,ANTUCOYA,892,ANT 2025 INFILL RC
ANR-501,410089.148,7496450.675,1580.402,160,ANTUCOYA,892,ANT 2025 INFILL RC
ANR-502,409452.893,7496131.945,1672.483,80,ANTUCOYA,892,ANT 2025 INFILL RC
ANR-503,409374.993,7496190.022,1674.146,120,ANTUCOYA,892,ANT 2025 INFILL RC
ANR-504,409414.003,7497018.998,1463.689,130,ANTUCOYA,892,ANT 2025 INFILL RC
ANR-505,409344.868,7496873.864,1464.319,210,ANTUCOYA,892,ANT 2025 INFILL RC
ANR-506,409026.18,7496624.162,1642.154,174,ANTUCOYA,892,ANT 2025 INFILL RC
ANR-506B,409028.151,7496626.142,1642.071,280,ANTUCOYA,892,ANT 2025 INFILL RC
