HOLEID,PROJECTCODE,DEPTH,AZIMUTH,DIP,PRIORITY,SURVTYPE,PROSPECT,PROSPECTNAME,AZIMUTHTYPE,OBSERVACIONES
"AND-03","0020",160,260.961,-71.4908,1,"GIRO1","175","AMSA 2006","",""
"AND-03","0020",170,261.9469,-71.5576,1,"GIRO1","175","AMSA 2006","",""
"AND-03","0020",180,262.209,-71.8255,1,"GIRO1","175","AMSA 2006","",""
"AND-03","0020",190,261.2006,-71.9946,1,"GIRO1","175","AMSA 2006","",""
"AND-03","0020",200,260.9139,-71.8103,1,"GIRO1","175","AMSA 2006","",""
"AND-03","0020",210,260.4947,-71.8004,1,"GIRO1","175","AMSA 2006","",""
"AND-03","0020",220,261.1289,-71.8522,1,"GIRO1","175","AMSA 2006","",""
"AND-03","0020",230,261.1651,-71.6543,1,"GIRO1","175","AMSA 2006","",""
"AND-03","0020",240,261.9792,-71.6352,1,"GIRO1","175","AMSA 2006","",""
"AND-03","0020",250,261.9276,-71.744,1,"GIRO1","175","AMSA 2006","",""
"AND-03","0020",255,261.7356,-71.7615,1,"GIRO1","175","AMSA 2006","",""
"AND-04","0020",0,42.6,-78.94,1,"GIRO1","175","AMSA 2006","",""
"AND-04","0020",10,44.56,-79.03,1,"GIRO1","175","AMSA 2006","",""
"AND-04","0020",20,43.62,-78.83,1,"GIRO1","175","AMSA 2006","",""
"AND-04","0020",30,42.58,-78.88,1,"GIRO1","175","AMSA 2006","",""
"AND-04","0020",40,42.73,-79.02,1,"GIRO1","175","AMSA 2006","",""
"AND-04","0020",50,43.84,-79.32,1,"GIRO1","175","AMSA 2006","",""
"AND-04","0020",60,45.29,-79.18,1,"GIRO1","175","AMSA 2006","",""
"AND-04","0020",70,44.82,-78.77,1,"GIRO1","175","AMSA 2006","",""
"AND-04","0020",80,43.04,-79.03,1,"GIRO1","175","AMSA 2006","",""
"AND-04","0020",90,42.91,-78.96,1,"GIRO1","175","AMSA 2006","",""
"AND-04","0020",100,42.87,-79.1,1,"GIRO1","175","AMSA 2006","",""
"AND-04","0020",110,42.81,-79.17,1,"GIRO1","175","AMSA 2006","",""
"AND-04","0020",120,44.04,-79.12,1,"GIRO1","175","AMSA 2006","",""
"AND-04","0020",130,44.12,-79.12,1,"GIRO1","175","AMSA 2006","",""
"AND-04","0020",140,45.25,-79.11,1,"GIRO1","175","AMSA 2006","",""
"AND-04","0020",150,46.16,-79.09,1,"GIRO1","175","AMSA 2006","",""
"AND-04","0020",160,47.66,-79.23,1,"GIRO1","175","AMSA 2006","",""
"AND-04","0020",170,48.27,-79.35,1,"GIRO1","175","AMSA 2006","",""
"AND-04","0020",180,48.62,-79.33,1,"GIRO1","175","AMSA 2006","",""
"AND-04","0020",190,48.42,-79.33,1,"GIRO1","175","AMSA 2006","",""
"AND-04","0020",200,49.03,-79.24,1,"GIRO1","175","AMSA 2006","",""
"AND-04","0020",210,49.9,-79.19,1,"GIRO1","175","AMSA 2006","",""
"AND-04","0020",218,49.81,-79.18,1,"GIRO1","175","AMSA 2006","",""
"AND-05","0020",0,41.51,-78.36,1,"GIRO1","175","AMSA 2006","",""
"AND-05","0020",10,42.83,-78.13,1,"GIRO1","175","AMSA 2006","",""
"AND-05","0020",20,44.21,-78.2,1,"GIRO1","175","AMSA 2006","",""
"AND-05","0020",30,43.4,-78.38,1,"GIRO1","175","AMSA 2006","",""
"AND-05","0020",40,43.88,-78.35,1,"GIRO1","175","AMSA 2006","",""
"AND-05","0020",50,43.24,-78.35,1,"GIRO1","175","AMSA 2006","",""
"AND-05","0020",60,43.16,-78.33,1,"GIRO1","175","AMSA 2006","",""
"AND-05","0020",70,42.53,-78.49,1,"GIRO1","175","AMSA 2006","",""
"AND-05","0020",80,42.3,-78.52,1,"GIRO1","175","AMSA 2006","",""
"AND-05","0020",90,42.5,-78.58,1,"GIRO1","175","AMSA 2006","",""
"AND-05","0020",100,42.43,-78.7,1,"GIRO1","175","AMSA 2006","",""
"AND-05","0020",110,42.83,-78.85,1,"GIRO1","175","AMSA 2006","",""
"AND-05","0020",120,43.24,-78.9,1,"GIRO1","175","AMSA 2006","",""
"AND-05","0020",130,43.33,-78.99,1,"GIRO1","175","AMSA 2006","",""
"AND-05","0020",140,43.54,-79.04,1,"GIRO1","175","AMSA 2006","",""
"AND-05","0020",150,44.74,-79.09,1,"GIRO1","175","AMSA 2006","",""
"AND-05","0020",160,43.77,-79.13,1,"GIRO1","175","AMSA 2006","",""
"AND-05","0020",170,44.04,-79.08,1,"GIRO1","175","AMSA 2006","",""
"AND-05","0020",180,43.66,-78.93,1,"GIRO1","175","AMSA 2006","",""
"AND-05","0020",190,44.52,-78.9,1,"GIRO1","175","AMSA 2006","",""
"AND-05","0020",200,43.13,-78.82,1,"GIRO1","175","AMSA 2006","",""
"AND-05","0020",210,43.19,-78.68,1,"GIRO1","175","AMSA 2006","",""
"AND-06","0020",0,86.14,-70.14,1,"GIRO1","175","AMSA 2006","",""
"AND-06","0020",10,86.13,-70.21,1,"GIRO1","175","AMSA 2006","",""
"AND-06","0020",20,86.54,-70.47,1,"GIRO1","175","AMSA 2006","",""
"AND-06","0020",30,86.52,-70.56,1,"GIRO1","175","AMSA 2006","",""
"AND-06","0020",40,86.4,-70.53,1,"GIRO1","175","AMSA 2006","",""
